;;"FAST BUDGET"

"Id";"Value";"Currency";"Category";"Account";"Date";"From/To";"Notes";"Value (EUR)"
"0";"2753.16";"EUR";"Lohn";"DKB VISA Debit";"1/27/25";"";"";"2753.16"
"1";"-665.3";"EUR";"Reparatur";"DKB VISA Debit";"1/26/25";"";"";"-665.3"
"2";"-10.0";"EUR";"Geschenke";"Geldbörse";"1/26/25";"";"Richard";"-10.0"
"3";"-65.0";"EUR";"Boxen";"DKB VISA Debit";"1/26/25";"";"Kickboxen";"-65.0"
"4";"-79.05";"EUR";"Tanken";"C24 Google Pay";"1/26/25";"";"";"-79.05"
"5";"-27.55";"EUR";"Lebensmittel";"C24 Google Pay";"1/23/25";"";"";"-27.55"
"6";"-7.6";"EUR";"OPVN";"PayPal";"1/21/25";"";"";"-7.6"
"7";"-102.98";"EUR";"Geschenke";"C24 Google Pay";"1/20/25";"";"";"-102.98"
"8";"-72.0";"EUR";"Transfer between accounts";"Geldbörse";"1/19/25";"PayPal";"Luise tausch";"-72.0"
"9";"72.0";"EUR";"Transfer between accounts";"PayPal";"1/19/25";"Geldbörse";"Luise tausch";"72.0"
"10";"-3.0";"EUR";"Ausflug";"Geldbörse";"1/19/25";"";"Toilette";"-3.0"
"11";"-5.96";"EUR";"Lebensmittel";"C24 Google Pay";"1/19/25";"";"";"-5.96"
"12";"279.0";"EUR";"Motorrad";"Barclays VISA";"1/19/25";"";"Tcx hero WP Braun 47";"279.0"
"13";"-26.03";"EUR";"Lebensmittel";"C24 Google Pay";"1/18/25";"";"";"-26.03"
"14";"-2.0";"EUR";"Ausflug";"Geldbörse";"1/18/25";"";"An max";"-2.0"
"15";"-10.0";"EUR";"Ausflug";"PayPal";"1/18/25";"";"Essen";"-10.0"
"16";"-60.0";"EUR";"Ausflug";"PayPal";"1/18/25";"";"Bier sprit";"-60.0"
"17";"-23.0";"EUR";"Ausflug";"Geldbörse";"1/18/25";"";"Ski ausleih";"-23.0"
"18";"-200.0";"EUR";"Transfer between accounts";"DKB VISA Debit";"1/18/25";"Geldbörse";"";"-200.0"
"19";"200.0";"EUR";"Transfer between accounts";"Geldbörse";"1/18/25";"DKB VISA Debit";"";"200.0"
"20";"-10.25";"EUR";"Lebensmittel";"C24 Google Pay";"1/17/25";"";"";"-10.25"
"21";"-10.0";"EUR";"Eissport";"C24 Google Pay";"1/17/25";"";"";"-10.0"
"22";"-19.64";"EUR";"Lebensmittel";"C24 Google Pay";"1/16/25";"";"";"-19.64"
"23";"-90.0";"EUR";"Strom";"DKB VISA Debit";"1/16/25";"";"";"-90.0"
"24";"-30.27";"EUR";"Lebensmittel";"C24 Google Pay";"1/15/25";"";"";"-30.27"
"25";"-50.0";"EUR";"Essen Arbeit";"C24 Google Pay";"1/15/25";"";"";"-50.0"
"26";"0.54";"EUR";"Ausgleich";"Barclays VISA";"1/14/25";"";"";"0.54"
